913,912,817,816,721,720,625,624,529,528,433,432,337,336,241,240,145,144,49,48
914,911,818,815,722,719,626,623,530,527,434,431,338,335,242,239,146,143,50,47
915,910,819,814,723,718,627,622,531,526,435,430,339,334,243,238,147,142,51,46
916,909,820,813,724,717,628,621,532,525,436,429,340,333,244,237,148,141,52,45
917,908,821,812,725,716,629,620,533,524,437,428,341,332,245,236,149,140,53,44
918,907,822,811,726,715,630,619,534,523,438,427,342,331,246,235,150,139,54,43
919,906,823,810,727,714,631,618,535,522,439,426,343,330,247,234,151,138,55,42
920,905,824,809,728,713,632,617,536,521,440,425,344,329,248,233,152,137,56,41
921,904,825,808,729,712,633,616,537,520,441,424,345,328,249,232,153,136,57,40
922,903,826,807,730,711,634,615,538,519,442,423,346,327,250,231,154,135,58,39
923,902,827,806,731,710,635,614,539,518,443,422,347,326,251,230,155,134,59,38
924,901,828,805,732,709,636,613,540,517,444,421,348,325,252,229,156,133,60,37
925,900,829,804,733,708,637,612,541,516,445,420,349,324,253,228,157,132,61,36
926,899,830,803,734,707,638,611,542,515,446,419,350,323,254,227,158,131,62,35
927,898,831,802,735,706,639,610,543,514,447,418,351,322,255,226,159,130,63,34
928,897,832,801,736,705,640,609,544,513,448,417,352,321,256,225,160,129,64,33
929,896,833,800,737,704,641,608,545,512,449,416,353,320,257,224,161,128,65,32
930,895,834,799,738,703,642,607,546,511,450,415,354,319,258,223,162,127,66,31
931,894,835,798,739,702,643,606,547,510,451,414,355,318,259,222,163,126,67,30
932,893,836,797,740,701,644,605,548,509,452,413,356,317,260,221,164,125,68,29
933,892,837,796,741,700,645,604,549,508,453,412,357,316,261,220,165,124,69,28
934,891,838,795,742,699,646,603,550,507,454,411,358,315,262,219,166,123,70,27
935,890,839,794,743,698,647,602,551,506,455,410,359,314,263,218,167,122,71,26
936,889,840,793,744,697,648,601,552,505,456,409,360,313,264,217,168,121,72,25
937,888,841,792,745,696,649,600,553,504,457,408,361,312,265,216,169,120,73,24
938,887,842,791,746,695,650,599,554,503,458,407,362,311,266,215,170,119,74,23
939,886,843,790,747,694,651,598,555,502,459,406,363,310,267,214,171,118,75,22
940,885,844,789,748,693,652,597,556,501,460,405,364,309,268,213,172,117,76,21
941,884,845,788,749,692,653,596,557,500,461,404,365,308,269,212,173,116,77,20
942,883,846,787,750,691,654,595,558,499,462,403,366,307,270,211,174,115,78,19
943,882,847,786,751,690,655,594,559,498,463,402,367,306,271,210,175,114,79,18
944,881,848,785,752,689,656,593,560,497,464,401,368,305,272,209,176,113,80,17
945,880,849,784,753,688,657,592,561,496,465,400,369,304,273,208,177,112,81,16
946,879,850,783,754,687,658,591,562,495,466,399,370,303,274,207,178,111,82,15
947,878,851,782,755,686,659,590,563,494,467,398,371,302,275,206,179,110,83,14
948,877,852,781,756,685,660,589,564,493,468,397,372,301,276,205,180,109,84,13
949,876,853,780,757,684,661,588,565,492,469,396,373,300,277,204,181,108,85,12
950,875,854,779,758,683,662,587,566,491,470,395,374,299,278,203,182,107,86,11
951,874,855,778,759,682,663,586,567,490,471,394,375,298,279,202,183,106,87,10
952,873,856,777,760,681,664,585,568,489,472,393,376,297,280,201,184,105,88,9
953,872,857,776,761,680,665,584,569,488,473,392,377,296,281,200,185,104,89,8
954,871,858,775,762,679,666,583,570,487,474,391,378,295,282,199,186,103,90,7
955,870,859,774,763,678,667,582,571,486,475,390,379,294,283,198,187,102,91,6
956,869,860,773,764,677,668,581,572,485,476,389,380,293,284,197,188,101,92,5
957,868,861,772,765,676,669,580,573,484,477,388,381,292,285,196,189,100,93,4
958,867,862,771,766,675,670,579,574,483,478,387,382,291,286,195,190,99,94,3
959,866,863,770,767,674,671,578,575,482,479,386,383,290,287,194,191,98,95,2
960,865,864,769,768,673,672,577,576,481,480,385,384,289,288,193,192,97,96,1
